matern32,SquaredExp,RationalQuad,Matern52,Gamma,Ensemble
-142.778103783833,-157.638722528901,-136.213125064667,-105.521797303374,-64.7504913954534,-147.484433721392
-149.029015931664,-148.836100138642,-89.1753521756245,-151.753389480983,-102.590625779736,-52.2701042215636
-141.823692903141,-179.362600311492,-118.275840194024,-86.3794902045889,-165.358625719401,-173.269511913016
-180.327563773199,-165.88123951777,-144.63832294801,-165.88123951777,-229.178784747792,-229.178784747792
-86.6525403784439,-180.327563773199,-138.272749610853,-229.178784747792,-86.6525403784439,-165.88123951777
-133.105878071142,-141.286092592862,-138.332749610853,-180.327563773199,-133.49065262459,-86.6525403784439
-229.178784747792,-86.6525403784439,-141.522084349073,-148.40980476667,-200.820604688338,-141.370593676635
-192.837417819814,-62.5085365525627,-85.5734847173773,-206.834485239022,-165.88123951777,-140.488213804081
-44.8790009033424,-190.632169717516,-73.5024537823171,-119.902484438828,-118.490023143931,-51.9744454023631
-165.88123951777,-65.1737281853573,-44.0919196142151,-43.0763479970614,-150.693353775655,-99.0306957255345
-85.2033730607687,-51.2591157365189,-27.0911579396681,-86.6525403784439,-43.4977673433444,-117.698637129018
-209.763818639581,-229.178784747792,-64.2514569904131,-59.4586619450368,-105.720221133074,-46.335685176042
-112.269804462741,-155.881947865184,-38.4673842772209,-153.864085888153,-188.928696249493,-155.807942110274
-61.6815449934912,-37.7521702417255,-38.0097687005335,-42.6426548613072,-117.617941072591,-211.656722658411
-87.2698448793542,-209.34821330514,-116.207260244631,-92.720033583062,-48.3401808873361,-189.020049769835
-112.31167644248,-73.8745413869102,-69.1000418897479,-65.8119065384735,-112.157921964475,-64.9008326612305
-131.438316447972,-46.008289148187,-72.7062707101341,-35.6370933126883,-71.1863970350804,-19.5050762232338
-73.0680234555757,-23.1909449356989,-111.01571424086,-24.7297981609676,-213.716942237005,-31.7485418889226
-48.5514788805953,-9.61685027762079,-45.0375572688769,-62.3697712547229,-74.8258733229563,-14.2838618309952
-74.8208024429881,-81.8155142724348,-83.8827834808134,-60.9695633079674,-111.189211646357,-98.167510741906
-54.5762906890208,-121.596093056744,-48.4937520685961,-93.3450650723842,-76.4480071714897,-30.110218317309
-26.3419204081791,-50.2094278861879,-43.1171332343221,-71.0132764733304,-176.610433683984,-66.7156484007581
-60.1502923430584,-56.0768492547191,-40.992080784686,-76.1703196006335,-33.2989359005177,-54.450927547785
-201.872542817831,-89.8980660432701,-134.069800737336,-149.177320758293,-37.9889027530529,-68.0584926840581
-70.4808851996443,-155.426277714581,-125.881504021337,-185.499605088995,-16.5554533012362,-80.2451384089087
-150.968786923809,-41.4721224454462,-93.8902196821404,-125.624126355142,-52.2053956117092,-73.8483058910176
-66.8983762503079,-73.9369244893168,-39.5163033972903,-203.740936814527,-146.922372981291,-178.178738806207
-23.6475785435819,-92.2484887997265,-132.384659294676,-59.67592618719,-74.4704457420306,-149.511200272118
-35.3980416824736,-32.8021395668091,-38.2331098302129,-150.327894950505,-46.4339503437838,-92.7425200649457
-72.2150277392761,-135.874283755827,-134.76352841298,-152.156216739159,-158.945120295356,-176.146341865909
-105.673824337394,-111.197707606399,-97.5080400122897,-143.681663252684,-162.17495403438,-84.1139436360832
-170.939357324947,-53.2967622386775,-136.610534982402,-27.6644186569327,-110.807410190814,-144.497122988948
-127.476225630454,-137.048258012195,-73.1404808181536,-143.746141493204,-102.184653919615,-69.2445484629552
-94.0280886921262,-77.2110714340666,-109.365001001373,-97.5535301545091,-71.7186226851955,-113.195436934844
