matern32,SquaredExp,RationalQuad,Matern52,Gamma,Ensemble
-64.8862563621185,-10.176833228247,-0.822743935659106,-65.3550981548045,-28.9472920014993,-88.4273139464366
-82.776103455441,-130.809238869688,-0.871131524382504,-65.806476146967,-58.6397856917179,-30.9112467522986
-77.2997773286416,-31.7853775455346,-0.781235314804158,-16.0390525574949,-98.5053488330648,-85.1304337448126
-35.2326787031027,-20.4937557758956,-1.15763308770987,-40.2056722546804,-14.8407766155195,-154.436748485662
-66.4719703637094,-71.7294422119282,-1.15763308770987,-46.5450577394309,-70.4057123947989,-140.654917174319
-111.081244284261,-57.988101086352,-1.15763308770987,-30.1847035576759,-82.594375538592,-6.48373802814059
-56.1302840845975,-83.8486214370915,-1.15763308770987,-104.310734509266,-8.81322999319548,-140.310783901168
-87.0156817433439,-82.2638860241721,-0.850259584495617,-0.131623080301605,-74.340913469987,-82.7937943663825
-88.5908131291027,-62.2942629238506,-0.583942311271376,-20.8830883814409,-1.48960360600134,-80.3860097881181
-69.6389273218892,-86.841987839984,-1.9922422696026,-9.7666719158812,-56.1890665792865,-108.10678515439
-7.14962815325489,-10.3980067591976,-0.011935286669905,-114.815190147961,-145.500343482595,-94.2870800626868
-86.0811841912605,-12.2772034666651,-0.078731710670011,-117.42291106827,-17.0922601714201,-5.64758907865148
-138.382920538649,-31.3822770986485,-0.045709716493882,-74.9612135284369,-70.8574014186977,-8.48824500858881
-62.7318557007207,-52.0923441957108,-0.951775901424228,-146.837342813354,-31.8601046815842,-33.1132055974572
-94.0851320383633,-42.0148477133928,-1.9916450484484,-24.3069211305014,-41.8545797356016,-13.7058304621502
-6.66252653600839,-34.7993850225906,-0.94000988161886,-46.8842495539692,-21.1624104410331,-34.1441736557026
-50.6959231721326,-59.9538961873196,-0.11066027353395,-27.2340746759702,-14.5506718143481,-173.854685226529
-26.173282578215,-152.099172829804,-0.611332872622841,-139.818036345109,-21.8552601320719,-84.1826060929924
-139.216071740803,-80.2448346093083,-0.222325078946215,-91.7678843816857,-96.4978860898483,-108.151603042316
-130.556158310906,-81.3676879344883,-0.251647573856306,-64.0655666404451,-7.74317630659026,-8.00376963474569
-86.7401579516241,-56.6620562220434,-0.976326707346028,-58.8748533875644,-14.9156728063823,-51.3054496496862
-35.5825090629591,-89.9128166276439,-1.00452275254795,-79.6964121473957,-77.8026701671017,-18.0128360780427
-82.6490615497016,-4.02283197353399,-0.013839021489658,-32.2232396536724,-87.7975193347301,-18.1606233919717
-79.7940752611648,-73.2004656122034,-0.005138299493282,-112.502256380033,-102.749402448488,-90.8812474109696
-2.17369189715925,-33.9055847902284,-0.129153264241084,-5.49225226687504,-81.2583984001449,-2.15041920869135
-9.90250031390814,-24.2325414508311,-0.205191927829891,-46.814566232925,-110.46150949382,-140.582140773965
-33.05910386469,-12.2227859541719,-1.00654651973416,-13.5475001823134,-10.2085314826986,-28.6258058309732
-33.2870029690036,-41.1329565237402,-0.325291364521143,-64.7890634871106,-66.2933606130844,-110.636037642231
-49.2690439255572,-97.7088290349183,-4.39264087109814E-05,-170.590914584335,-66.2252794171053,-32.0716816065448
-69.9850881172666,-170.927046629886,-0.494700324860085,-135.458919999165,-123.550739920249,-1.27614507109934
-11.0503281243396,-112.918247837398,-1.21767509299966,-160.278735679198,-28.9526483543453,-6.41434788581065
