matern32,SquaredExp,RationalQuad,Matern52,Gamma,Ensemble
-51.9873008347731,-57.8094980582496,-37.6983037779617,-50.3562072309936,-26.755710994975,-46.85885644795
-21.8913119804745,-43.1004139267264,-35.6939224683592,-25.4979005960618,-45.1247037330038,-42.2947296713468
-38.0197941176158,-64.864369256188,-42.0691083408623,-78.5014387754324,-42.7277687037601,-36.370504189227
-57.8494274515718,-51.1853853976715,-13,-57.8494274515718,-57.8494274515718,-57.8494274515718
-30.200539349408,-57.8494274515718,-13,-57.8494274515718,-57.8494274515718,-57.8494274515718
-57.8494274515718,-49.1319445602127,-13,-27.2368791157153,-21.224676628516,-57.8494274515718
-57.8494274515718,-21.3969385771436,-9.007350311562,-57.8494274515718,-57.8494274515718,-32.5592549100845
-57.8494274515718,-57.8494274515718,-17.958423126364,-38.8086385106831,-32.1048832170504,-33.9499376462682
-4.06785955593691,-69.2686149677096,-26.4447834415502,-32.699272699054,-30.0347643871715,-46.9688875587065
-32.3274620743119,-40.4520999873529,-11.4657917462743,-50.8032916388543,-57.8494274515718,-39.5145080114945
-27.0067450217921,-30.497775735631,-29.5419757958712,-21.4865806515576,-4.29512317337005,-39.8370741915593
-36.9357073646092,-41.5970591737449,-24.0441578027535,-23.8807390484181,-48.8680024903431,-57.8494274515718
-29.7141599267049,-9.50753799148337,-25.1465806259516,-41.2583828873716,-33.3620421935635,-33.189248969604
-37.7410514140416,-35.3358813718016,-23.9416983375082,-55.0490829328059,-21.9452095977395,-37.1581435980087
-8.34288009446981,-48.7629430739506,-29.096033912796,-58.1075632560401,-35.1906609673215,-12.2433761190421
-7.81173779888752,-10.3942858333592,-15.7279126228854,-33.3633178606709,-33.4567970916917,-52.5487578500843
-14.1770892944641,-23.6292281483309,-29.8855178000759,-54.9561524616796,-15.7204874005319,-13.8440892371168
-34.9754873294922,-39.4081466570216,-25.676288039687,-50.7188462007053,-29.7120175713149,-1.8494795653003
-47.3336780204251,-27.301942657561,-17.2127313351393,-26.7854751399499,-38.0551572740256,-19.287710814122
-37.27757954967,-19.5462927731479,-26.4956457897794,-32.9686375547141,-40.3424325468846,-6.7837899157337
-37.0062133992615,-35.3437890055517,-5.55165707911286,-20.1273019031115,-21.2380602701087,-36.7306698147694
-26.2773480714501,-26.6110016988142,-19.6168323962605,-25.4042158342868,-4.36411014704111,-27.1856789832677
-25.137895495136,-12.5014508789057,-35.2945456825852,-40.8624925373462,-25.9853316702026,-29.6330883649107
-49.1739520097659,-29.4568335009547,-20.7445411929117,-44.0309206426423,-46.3550106623614,-20.5837907646465
-29.558193552786,-31.7475307264604,-14.3872260161233,-44.1018650954408,-47.8689334347111,-51.5954554523097
