ensemble,sqexp
 [ 0.78747693  0.92423783]. , [ 0.9612079   0.11654669]. 
 [ 0.16313511  0.42787448]. , [ 0.70956772  0.23034416]. 
 [ 0.4332104   0.35447225]. , [ 0.41447673  0.03286273]. 
 [ 0.  0.]. , [ 0.14734871  0.89519381]. 
 [ 0.          0.24586777]. , [ 0.44046074  0.39567659]. 
 [ 0.  1.]. , [ 0.7503597  1.       ]. 
 [ 0.14300246  0.13889441]. , [ 0.56891277  0.        ]. 
 [ 0.31431056  0.        ]. , [ 0.  0.]. 
 [ 0.19349548  0.17554357]. , [ 1.          0.53451045]. 
 [ 0.23902755  0.20256602]. , [  3.86902856e-02  -1.38777878e-17]. 
 [ 0.20045092  0.21774067]. , [ 0.13325651  0.01755272]. 
 [ 0.21353493  0.19504281]. , [ 0.          0.26818806]. 
 [ 0.22674203  0.24043502]. , [ 0.11064495  0.1245254 ]. 
 [ 0.17079538  0.20973252]. , [ 0.16258631  0.16283215]. 
 [ 0.23294989  0.16562686]. , [ 0.98009519  0.95116525]. 
 [ 0.21971092  0.21505993]. , [ 0.88973898  0.57830665]. 
 [ 0.18945976  0.24327802]. , [  7.74360386e-01   5.09989016e-04]. 
 [ 0.19424514  0.19940305]. , [ 0.09452876  0.47292012]. 
 [ 0.26220383  0.22293451]. , [ 0.28804401  0.79077681]. 
 [ 0.20764257  0.20658872]. , [ 0.58610712  0.31902727]. 
 [ 0.17227267  0.18547109]. , [ 0.90922393  0.91130816]. 
 [ 0.20959234  0.22954133]. , [ 0.63192428  0.11042764]. 
 [ 0.21342771  0.18006276]. , [ 0.50676286  0.75452368]. 
 [ 0.1867679   0.21854881]. , [ 0.01703146  0.58210768]. 
 [ 0.22381174  0.20142423]. , [ 0.7250575   0.24955239]. 
 [ 0.20149456  0.19012674]. , [ 0.80640036  0.53395473]. 
 [ 0.20130567  0.15029155]. , [ 0.5315368   0.62722358]. 
 [ 0.23309382  0.2211209 ]. , [ 0.37248403  0.38669254]. 
 [ 0.15591333  0.23371515]. , [ 0.67093079  0.06717284]. 
 [ 0.2129035   0.26470986]. , [ 0.25227363  0.63334785]. 
